,AREA,PERIMETER,MAJOR_AXIS,MINOR_AXIS,ECCENTRICITY,SOLIDITY,EXTENT,ASPECT_RATIO,ROUNDNESS,COMPACTNESS,SHAPEFACTOR_1,SHAPEFACTOR_2,SHAPEFACTOR_4,MeanRR,MeanRG,MeanRB,StdDevRR,StdDevRG,StdDevRB,SkewRR,SkewRG,SkewRB,KurtosisRR,KurtosisRG,KurtosisRB,EntropyRR,EntropyRG,EntropyRB,Labeled Class
0,422163,2378.908,837.8484,645.6693,0.6373,0.9947,0.7831,1.2976,0.9374,0.875,0.002,0.0015,0.9936,117.4466,109.9085,95.6774,26.5152,23.0687,30.123,-0.5661,-0.0114,0.6019,3.237,2.9574,4.2287,-59191263232,-50714214400,-39922372608,0
1,338136,2085.144,723.8198,595.2073,0.569,0.9974,0.7795,1.2161,0.9773,0.9065,0.0021,0.0018,0.9993,100.0578,105.6314,95.661,27.2656,23.4952,28.1229,-0.2328,0.1349,0.4134,2.6228,2.635,3.1704,-34233065472,-37462601728,-31477794816,0
4,347562,2160.354,763.9877,582.8359,0.6465,0.9908,0.7569,1.3108,0.9358,0.8707,0.0022,0.0017,0.9938,105.5484,101.8132,85.3342,30.3205,25.0291,27.1741,-0.3552,0.2101,0.8865,2.7016,2.9761,4.4146,-39980974080,-35980042240,-25593278464,0
5,408953,2326.6931,840.1821,622.0076,0.6722,0.9974,0.7805,1.3508,0.9493,0.8589,0.0021,0.0015,0.9964,99.398,90.6346,79.4735,28.2568,24.0417,32.7977,0.1189,0.94,1.5571,3.6309,6.0285,6.2159,-41140371456,-33146710016,-27907301376,0
6,451414,2457.208,889.3253,652.4316,0.6796,0.997,0.7877,1.3631,0.9395,0.8525,0.002,0.0014,0.9906,115.6213,117.0903,104.8433,33.6642,29.9951,33.8446,0.0606,0.453,0.9431,3.0703,3.4163,4.9168,-63711666176,-64060743680,-52603465728,0
7,382636,2275.7791,808.0833,609.2819,0.6569,0.9931,0.7032,1.3263,0.9284,0.8638,0.0021,0.0016,0.9895,90.3542,96.4854,94.4357,19.5037,14.7487,20.7736,-0.3332,0.9453,0.9929,3.6756,7.0258,5.3254,-29873577984,-33570080768,-33054025728,0
9,420044,2391.123,836.928,645.1822,0.637,0.9918,0.7853,1.2972,0.9232,0.8738,0.002,0.0015,0.9905,129.8143,116.5492,96.9639,32.045,27.1177,35.4221,-0.3274,0.3495,1.1912,3.3729,4.2898,5.4637,-74341122048,-58172182528,-42640556032,0
10,364495,2216.49,790.9014,590.7698,0.6649,0.9949,0.7658,1.3388,0.9323,0.8613,0.0022,0.0016,0.9933,105.4613,105.9778,100.6237,29.5623,23.7637,28.052,-0.0081,0.5351,0.9283,3.0514,4.3653,6.0898,-41679380480,-40727969792,-37574615040,0
11,404243,2345.5349,823.7634,628.8527,0.6459,0.9921,0.7808,1.3099,0.9234,0.8709,0.002,0.0016,0.9936,105.63,96.1584,86.9584,30.4008,25.0384,33.196,-0.1935,0.7059,1.639,3.0224,4.7019,6.4561,-46608568320,-37227855872,-32751931392,0
12,407789,2308.4099,788.727,664.5451,0.5386,0.9958,0.7594,1.1869,0.9617,0.9136,0.0019,0.0016,0.9906,90.3188,95.0177,90.7037,28.864,26.5093,32.6899,-0.2364,0.2399,1.0781,3.4429,4.0735,5.477,-34002647040,-37003776000,-35555409920,0
